id	drivetime	latitude	longitude	elevation	soc	vehicle_id	ext_temp
35	25	6.19695	-75.5602	1717.44	100	GHW284	23
87	18	6.20219	-75.5573	1723.1	100	GHW284	23
101	45	6.20217	-75.5573	1722.65	100	GHW284	23
144	389	6.20217	-75.5572	1723.99	100	GHW284	23
151	28	6.20215	-75.5572	1723.59	100	GHW284	23
751	4400	6.19963	-75.579	1501.03	89	GHW284	23
764	22	6.19966	-75.579	1500.94	89	GHW284	23
771	57	6.19963	-75.579	1501.03	89	GHW284	23
774	17	6.19968	-75.579	1500.89	89	GHW284	23
1795	36	6.19812	-75.5581	1719.34	58	GHW284	23
2066	18	6.15225	-75.5817	1706.22	54	GHW284	20
2285	9	6.17226	-75.6072	1558.01	53	GHW284	21
2293	42	6.17234	-75.6072	1557.94	53	GHW284	24
2555	9	6.19694	-75.5603	1712.95	90	GHW284	24
2717	14	6.19959	-75.579	1501.21	89	GHW284	25
2782	57	6.19975	-75.5795	1500.17	89	GHW284	21
2785	36	6.19975	-75.5795	1500.17	89	GHW284	21
3387	16	6.15308	-75.5412	2512.6	69	GHW284	19
3429	31	6.15311	-75.5412	2512.43	90	GHW284	15
4208	61	6.19926	-75.578	1501.78	89	GHW284	20
4218	13	6.19931	-75.578	1501.38	89	GHW284	21
5516	13	6.19928	-75.578	1501.61	68	GHW284	25
5531	39	6.19927	-75.578	1501.69	68	GHW284	25
5557	27	6.19964	-75.579	1500.99	68	GHW284	26
6203	82	6.23573	-75.5701	1475.48	64	GHW284	27
6860	33	6.17228	-75.6071	1557.8	55	GHW284	24
7025	3	6.20807	-75.5671	1551.05	52	GHW284	22
7039	8	6.20858	-75.5669	1549.53	52	GHW284	22
7044	55	6.20857	-75.5669	1549.64	53	GHW284	20
7184	61	6.15316	-75.5412	2512.24	41	GHW284	13
7209	28	6.15314	-75.5412	2512.31	59	GHW284	12
7518	29	6.17251	-75.6073	1557.98	64	GHW284	22
7808	12	6.19749	-75.5788	1503.67	62	GHW284	22
8381	9	6.15312	-75.5412	2512.38	42	GHW284	20
8388	19	6.15311	-75.5412	2512.43	42	GHW284	22
8437	24	6.15311	-75.5412	2512.43	85	GHW284	26
9163	28	6.19747	-75.5788	1503.66	85	GHW284	27
9210	57	6.19973	-75.5794	1500.38	85	GHW284	28
11029	17	6.20063	-75.5794	1499.8	62	GHW284	24
11073	17	6.19772	-75.5793	1504.02	61	GHW284	22
11328	16	6.19694	-75.5602	1717.35	82	GHW284	20
11579	38	6.17225	-75.6071	1557.82	81	GHW284	20
11630	21	6.1994	-75.5796	1501.23	80	GHW284	21
12664	56	6.17112	-75.6066	1557.44	53	GHW284	18
13052	8	6.19752	-75.5786	1504.07	48	GHW284	22
13065	13	6.19788	-75.5792	1503.83	49	GHW284	28
13166	277	6.20027	-75.576	1517.93	36	GHW284	26
13220	116	6.17181	-75.6086	1561.7	98	GHW284	23
13348	1096	6.19945	-75.5795	1501.41	96	GHW284	20
13350	39	6.19945	-75.5795	1501.41	96	GHW284	20
14140	27	6.19948	-75.5795	1501.28	74	GHW284	20
14362	2	6.17156	-75.6067	1557.54	70	GHW284	25
14999	18	6.16892	-75.5962	1541.31	62	GHW284	31
15166	30	6.22434	-75.5663	1550.42	57	GHW284	22
15383	14	6.17227	-75.6072	1558	99	GHW284	25
15504	7	6.19757	-75.5787	1503.72	98	GHW284	23
15518	37	6.19778	-75.5791	1503.67	98	GHW284	23
16431	23	6.1978	-75.5792	1503.86	77	GHW284	28
16801	24	6.19773	-75.5793	1504.04	71	GHW284	30
16813	1300	6.19752	-75.579	1503.77	71	GHW284	26
16895	12	6.19757	-75.579	1503.74	71	GHW284	27
17676	21	6.1527	-75.5461	2448.23	51	GHW284	21
20983	64	6.1607	-75.6052	1562.09	94	FRV020	22.5
21771	5	6.19776	-75.5794	1504.07	64	FRV020	22.5
21789	29	6.19776	-75.5794	1504.07	64	FRV020	23.5
21922	29	6.1531	-75.5412	2512.49	36	FRV020	15.5
21926	22	6.15309	-75.5412	2512.54	38	FRV020	17
22065	26	6.15312	-75.5412	2512.38	69	FRV020	21
22245	6	6.23892	-75.5743	1472.13	77	FRV020	21
22248	1	6.24021	-75.5782	1470.04	76	FRV020	21.5
22252	7	6.21868	-75.5776	1482.55	75	FRV020	22
22266	4	6.20787	-75.5792	1494.55	74	FRV020	22
24956	21	6.19957	-75.579	1501.29	100	FRV020	31
25141	14	6.18073	-75.5689	1677.17	95	FRV020	28
25312	2	6.19985	-75.5775	1502.47	93	FRV020	27
25811	1	6.25067	-75.6094	1540.37	65	FRV020	25
25813	1	6.25022	-75.6101	1546.33	65	FRV020	25
25816	1	6.24976	-75.6116	1557.15	64	FRV020	24.5
25825	1	6.25087	-75.6133	1562.03	64	FRV020	24.5
25828	2	6.25139	-75.6141	1562.51	64	FRV020	24.5
25830	10	6.25035	-75.6146	1567.6	63	FRV020	24.5
