Car Discharge Estimation,Time of Trip,Diff Elevation,Mean Tempeture,Diff Batery
-0.00811864406779661,364,5.440000000000055,34.5,0.0
-0.018566101694915255,4372,-222.55999999999995,34.5,-11.0
-0.013115254237288135,7914,219.9799999999998,32.5,-31.0
-0.032633898305084744,1639,-9.549999999999955,30.5,-5.0
-0.0186,1472,-148.21000000000004,31.0,-1.0
-0.028979661016949154,1466,169.3499999999999,32.5,-5.0
-0.01586779661016949,1141,-211.79999999999995,37.0,0.0
-0.00042033898305084746,674,-1.0399999999999636,34.5,0.0
-0.03883389830508475,280,1012.4099999999999,28.5,-20.0
-0.050359322033898306,6280,-1010.5699999999999,28.5,0.0
-0.004328813559322034,141,-0.6600000000000819,38.5,0.0
-0.039216949152542376,4886,1011.6600000000001,34.0,-27.0
-0.034908474576271185,4805,82.49000000000001,36.5,-9.0
-0.026871186440677965,1123,-9.11999999999989,34.0,-3.0
-0.0004101694915254237,104,-1.5199999999999818,33.0,0.0
-0.03696610169491525,1285,962.8999999999999,24.0,-17.0
-0.062389830508474575,2412,-954.3499999999999,26.0,5.0
-0.01782372881355932,2063,-54.299999999999955,34.0,-2.0
-0.037640677966101696,4759,1008.71,30.0,-20.0
-0.04734576271186441,4703,-1008.7699999999998,41.0,1.0
-0.001223728813559322,387,-3.2799999999999727,41.5,0.0
-2.3728813559322033e-05,13416,0.009999999999990905,38.0,-23.0
-0.003969491525423729,264,4.240000000000009,36.0,0.0
-0.013949152542372882,1602,223.3800000000001,31.0,-5.0
-0.032023728813559325,1738,-159.3499999999999,32.0,0.0
-0.018115254237288134,192,-56.58999999999992,31.0,-1.0
-0.02143050847457627,6511,56.15000000000009,28.5,-27.0
-0.01837627118644068,2495,-53.340000000000146,31.0,-5.0
-0.0003728813559322034,61,-0.2400000000000091,33.0,0.0
-0.011406779661016948,779,201.1300000000001,41.0,-6.0
-0.005732203389830508,987,-25.5,32.5,60.0
-0.021559322033898307,701,56.25999999999999,30.0,-4.0
-0.011240677966101694,2611,-16.25999999999999,37.5,-8.0
-0.022003389830508476,1215,219.1500000000001,42.5,-5.0
-0.01460677966101695,1509,167.1199999999999,32.0,-5.0
-0.017989830508474577,839,-53.930000000000064,35.5,-1.0
-0.00023728813559322035,38,0.0,34.5,0.0
-0.015359322033898306,6731,38.669999999999845,38.5,-18.0
-0.00032542372881355934,761,0.3000000000001819,42.0,-6.0
-0.00015254237288135592,1276,-0.2699999999999818,41.0,0.0
-0.04763389830508474,2696,944.49,34.5,-20.0
-0.03719661016949152,836,-944.6300000000001,37.5,1.0
