Car Discharge Estimation,Time of Trip,Diff Elevation,Mean Tempeture,Diff Batery
-18.86729857819905,803,51.84999999999991,48.0,-1.9000000000000057
-25.421800947867297,871,372.6400000000001,35.25,-5.6000000000000085
-24.976303317535546,799,-368.56999999999994,34.75,1.3999999999999915
-54.052132701421804,1684,-53.690000000000055,40.25,-2.3999999999999915
-5.033175355450237,851,3.7100000000000364,38.5,-1.0999999999999943
-62.838862559241704,3813,432.17999999999984,27.75,-10.200000000000003
-19.170616113744074,1314,-315.1099999999999,33.0,0.4000000000000057
-0.02843601895734597,246,-2.6099999999999,37.25,-0.09999999999999432
-16.075829383886255,541,50.97000000000003,49.75,-2.0
-19.85308056872038,780,369.1299999999999,40.5,-5.800000000000004
-30.919431279620852,1352,-452.89999999999986,42.5,1.2000000000000028
-0.018957345971563982,39,-0.03999999999996362,42.75,0.0
-0.17061611374407584,142,1.3900000000001,42.75,-0.10000000000000142
-0.0947867298578199,52,0.5,42.0,0.0
-8.11864406779661,364,5.440000000000055,34.5,0.0
-18.566101694915254,4372,-222.55999999999995,34.5,-11.0
-13.115254237288136,7914,219.9799999999998,32.5,-31.0
-32.63389830508475,1639,-9.549999999999955,30.5,-5.0
-18.6,1472,-148.21000000000004,31.0,-1.0
-28.97966101694915,1466,169.3499999999999,32.5,-5.0
-15.867796610169492,1141,-211.79999999999995,37.0,0.0
-0.42033898305084744,674,-1.0399999999999636,34.5,0.0
-38.833898305084745,280,1012.4099999999999,28.5,-20.0
-50.3593220338983,6280,-1010.5699999999999,28.5,0.0
-4.328813559322034,141,-0.6600000000000819,38.5,0.0
-39.21694915254237,4886,1011.6600000000001,34.0,-27.0
-34.90847457627119,4805,82.49000000000001,36.5,-9.0
-26.871186440677967,1123,-9.11999999999989,34.0,-3.0
-0.4101694915254237,104,-1.5199999999999818,33.0,0.0
-36.96610169491525,1285,962.8999999999999,24.0,-17.0
-62.389830508474574,2412,-954.3499999999999,26.0,5.0
-17.82372881355932,2063,-54.299999999999955,34.0,-2.0
-37.6406779661017,4759,1008.71,30.0,-20.0
-47.34576271186441,4703,-1008.7699999999998,41.0,1.0
-1.223728813559322,387,-3.2799999999999727,41.5,0.0
-0.023728813559322035,13416,0.009999999999990905,38.0,-23.0
-3.9694915254237286,264,4.240000000000009,36.0,0.0
-13.94915254237288,1602,223.3800000000001,31.0,-5.0
-32.02372881355932,1738,-159.3499999999999,32.0,0.0
-18.115254237288134,192,-56.58999999999992,31.0,-1.0
-21.43050847457627,6511,56.15000000000009,28.5,-27.0
-18.37627118644068,2495,-53.340000000000146,31.0,-5.0
-0.3728813559322034,61,-0.2400000000000091,33.0,0.0
-11.40677966101695,779,201.1300000000001,41.0,-6.0
-5.7322033898305085,987,-25.5,32.5,60.0
-21.559322033898304,701,56.25999999999999,30.0,-4.0
-11.240677966101694,2611,-16.25999999999999,37.5,-8.0
-22.003389830508475,1215,219.1500000000001,42.5,-5.0
-14.60677966101695,1509,167.1199999999999,32.0,-5.0
-17.989830508474576,839,-53.930000000000064,35.5,-1.0
-0.23728813559322035,38,0.0,34.5,0.0
-15.359322033898305,6731,38.669999999999845,38.5,-18.0
-0.3254237288135593,761,0.3000000000001819,42.0,-6.0
-0.15254237288135594,1276,-0.2699999999999818,41.0,0.0
-47.63389830508475,2696,944.49,34.5,-20.0
-37.19661016949153,836,-944.6300000000001,37.5,1.0
-7.964169381107492,4470,15.519999999999982,35.5,-9.0
-14.042345276872965,3176,236.1500000000001,31.0,-7.0
-23.403908794788272,2745,-167.43000000000006,30.0,-3.0
-1.8208469055374592,332,62.77999999999997,30.0,-1.0
-13.596091205211726,998,-131.33999999999992,29.0,0.0
-3.452768729641694,310,-6.3599999999999,29.5,0.0
-1.8534201954397393,182,3.519999999999982,43.5,-1.0
-8.267100977198696,3445,-1.9800000000000182,42.5,-7.0
-10.62214983713355,731,-3.9700000000000273,39.0,-1.0
-39.45928338762215,4678,-8.720000000000027,35.0,-7.0
-5.833876221498372,120,-9.230000000000018,33.0,0.0
-25.446254071661237,1336,29.450000000000045,31.0,-3.0
-0.8566775244299675,74,14.150000000000091,30.0,0.0
-46.83061889250814,1699,-40.18999999999983,24.5,-4.0
-8.762214983713354,180,3.839999999999918,25.5,-1.0
-13.120521172638437,374,34.73000000000002,25.5,-1.0
-0.6384364820846905,103,-1.4800000000000182,25.5,0.0
-5.022801302931596,934,9.409999999999854,25.5,35.0
-22.583061889250814,969,3.410000000000082,24.5,-3.0
-5.684039087947883,387,31.480000000000018,24.5,-1.0
-89.92508143322476,2534,1027.0399999999997,18.0,-26.0
-11.100977198697068,515,2.7800000000002,23.5,-2.0
-2.1042345276872965,59,-35.970000000000255,22.5,0.0
-75.98045602605863,1910,-908.1700000000001,29.5,-1.0
-10.149837133550488,384,-112.5,35.0,-1.0
-22.81758957654723,6367,167.47000000000003,40.5,-14.0
-24.205211726384366,1220,-163.67000000000007,38.5,-1.0
-8.964169381107492,744,20.590000000000146,24.5,0.0
-5.700325732899023,304,-15.709999999999809,37.0,0.0
-4.400651465798045,119,-14.210000000000036,38.5,0.0
-7.742671009771987,263,-16.180000000000064,40.0,0.0
-5.693811074918567,755,11.5,32.5,0.0
-6.996742671009772,381,1.990000000000009,32.0,0.0
-7.866449511400652,624,9.940000000000055,35.5,0.0
-4.5537459283387625,375,18.139999999999873,37.0,0.0
-6.482084690553746,354,-46.02999999999997,38.5,-2.0
-8.915309446254073,613,43.11999999999989,39.0,-2.0
