id	drivetime	latitude	longitude	elevation	soc	vehicle_id	ext_temp
83	389	6.20218	-75.5573	1722.88	100	GHW284	23
99	112	6.20217	-75.5573	1722.65	100	GHW284	23
142	380	6.2022	-75.5572	1724.54	100	GHW284	23
144	389	6.20217	-75.5572	1723.99	100	GHW284	23
749	4391	6.19963	-75.579	1501.03	89	GHW284	23
751	4400	6.19963	-75.579	1501.03	89	GHW284	23
766	144	6.19966	-75.579	1500.94	89	GHW284	23
771	57	6.19963	-75.579	1501.03	89	GHW284	23
1790	7931	6.19812	-75.558	1720.87	58	GHW284	21
2050	1675	6.15236	-75.5816	1709.79	53	GHW284	19
2280	1490	6.17226	-75.6072	1558.01	53	GHW284	21
2286	9	6.17226	-75.6072	1558.01	53	GHW284	21
2495	1475	6.19695	-75.5601	1727.36	48	GHW284	22
2707	1150	6.19963	-75.5791	1501.15	90	GHW284	25
2779	688	6.19975	-75.5795	1500.17	89	GHW284	22
2782	57	6.19975	-75.5795	1500.17	89	GHW284	21
3382	316	6.15307	-75.5412	2512.58	69	GHW284	18
3396	124	6.1531	-75.5412	2512.49	69	GHW284	19
4194	6311	6.19925	-75.578	1501.86	90	GHW284	21
4211	193	6.19926	-75.578	1501.78	89	GHW284	21
5465	9760	6.19928	-75.578	1501.61	68	GHW284	26
5525	174	6.19928	-75.578	1501.61	68	GHW284	25
5550	180	6.19963	-75.579	1501.03	68	GHW284	26
6197	4913	6.15312	-75.5413	2512.65	41	GHW284	21
6840	4887	6.1723	-75.6072	1557.97	55	GHW284	23
7022	1156	6.20806	-75.5672	1548.68	52	GHW284	22
7037	107	6.20858	-75.5669	1549.53	52	GHW284	22
7039	8	6.20858	-75.5669	1549.53	52	GHW284	22
7175	1293	6.15311	-75.5412	2512.43	35	GHW284	13
7185	122	6.15314	-75.5412	2512.31	41	GHW284	13
7513	2440	6.17253	-75.6073	1557.96	64	GHW284	20
7799	2092	6.19751	-75.5788	1503.68	62	GHW284	23
8379	4771	6.15312	-75.5412	2512.38	42	GHW284	19
8385	45	6.15311	-75.5412	2512.43	42	GHW284	20
8391	46	6.1531	-75.5412	2512.49	42	GHW284	22
9158	4727	6.19747	-75.5788	1503.66	86	GHW284	28
9208	415	6.19973	-75.5794	1500.38	85	GHW284	28
11023	13473	6.19981	-75.5795	1500.39	62	GHW284	24
11069	281	6.19773	-75.5793	1504.04	62	GHW284	24
11285	1619	6.19697	-75.5601	1727.4	56	GHW284	20
11574	1754	6.17227	-75.6072	1558	82	GHW284	22
11621	230	6.19942	-75.5796	1501.23	80	GHW284	21
12659	6532	6.17115	-75.6066	1557.38	53	GHW284	18
13046	2551	6.19751	-75.5786	1504.1	48	GHW284	22
13060	69	6.19793	-75.5792	1503.83	48	GHW284	22
13164	792	6.17842	-75.5674	1704.96	43	GHW284	27
13197	109	6.1985	-75.5753	1526.91	36	GHW284	25
13346	1087	6.19945	-75.5795	1501.41	96	GHW284	20
13348	1096	6.19945	-75.5795	1501.41	96	GHW284	20
14134	5809	6.19947	-75.5795	1501.33	74	GHW284	20
14253	728	6.17157	-75.6067	1557.54	70	GHW284	20
14742	2613	6.16891	-75.5962	1541.28	62	GHW284	25
15163	1233	6.18914	-75.561	1760.46	57	GHW284	27
15374	1539	6.197	-75.5602	1717.54	52	GHW284	21
15501	853	6.19752	-75.5786	1504.07	98	GHW284	23
15510	45	6.1978	-75.5791	1503.72	98	GHW284	23
16428	6768	6.17123	-75.6021	1542.34	80	GHW284	27
16787	784	6.19749	-75.5786	1504.16	71	GHW284	28
16809	73	6.19752	-75.579	1503.77	71	GHW284	30
16888	522	6.19756	-75.579	1503.75	71	GHW284	27
17674	2708	6.1527	-75.5461	2448.23	51	GHW284	21
18268	857	6.19751	-75.5789	1503.6	52	GHW284	27
21062	117	6.19844	-75.5757	1519.26	92	FRV020	24
21778	215	6.19776	-75.5794	1504.07	64	FRV020	23
21910	189	6.1531	-75.5412	2512.49	33	FRV020	15
21922	29	6.1531	-75.5412	2512.49	36	FRV020	15.5
21926	22	6.15309	-75.5412	2512.54	38	FRV020	17
22243	2	6.23843	-75.5729	1472.63	77	FRV020	21
22246	3	6.23976	-75.5779	1470.43	76	FRV020	21.5
22249	1	6.23828	-75.5774	1471.83	76	FRV020	21.5
22263	67	6.20965	-75.5789	1493.75	75	FRV020	22
22267	2	6.20806	-75.5792	1494.33	74	FRV020	22
25036	580	6.18072	-75.5689	1676.86	95	FRV020	27
25270	720	6.19966	-75.5775	1502.9	93	FRV020	26
25807	5	6.25154	-75.6084	1533.29	65	FRV020	25
25811	1	6.25067	-75.6094	1540.37	65	FRV020	25
25813	1	6.25022	-75.6101	1546.33	65	FRV020	25
25823	2	6.25058	-75.6128	1561.89	64	FRV020	24.5
25826	1	6.25118	-75.6138	1560.32	64	FRV020	24.5
25828	2	6.25139	-75.6141	1562.51	64	FRV020	24.5
26319	342	6.2451	-75.5907	1484.5	52	FRV020	24
26575	781	6.24674	-75.6147	1594.23	47	FRV020	22
26774	103	6.25076	-75.6047	1525.79	45	FRV020	21.5
26776	1	6.25073	-75.6042	1523.64	45	FRV020	21.5
26788	1	6.2552	-75.5935	1483.54	45	FRV020	22.5
26802	2	6.25383	-75.5821	1469.56	44	FRV020	22.5
26808	1	6.25656	-75.5808	1468.78	44	FRV020	22.5
26817	54	6.26507	-75.5778	1472.29	43	FRV020	22.5
26827	2	6.29066	-75.5688	1504.45	41	FRV020	22
26831	1	6.29228	-75.5683	1512.54	41	FRV020	22
26834	8	6.29295	-75.5681	1515.9	40	FRV020	22
26855	1	6.30316	-75.562	1496.42	40	FRV020	22.5
26864	1	6.30675	-75.5604	1480.54	40	FRV020	22
26867	1	6.30907	-75.5599	1469.54	40	FRV020	22
26873	1	6.3153	-75.557	1440.75	40	FRV020	22
32466	10	6.30867	-75.5584	1445.73	95	FVQ731	28.5
32472	2	6.31186	-75.5581	1446.87	94	FVQ731	27.5
32476	2	6.31332	-75.557	1444.01	94	FVQ731	27.5
32484	7	6.31378	-75.5583	1455.08	94	FVQ731	27.5
32490	83	6.31376	-75.5583	1455.06	94	FVQ731	27.5
36681	93	6.26488	-75.5993	1501.89	55	FVQ731	23.5
36690	60	6.26489	-75.5993	1501.96	54	FVQ731	24
37441	304	6.26491	-75.5993	1502.1	25	FVQ731	22.5
38397	312	6.26491	-75.5993	1502.1	25	FVQ731	23.5
38541	245	6.26491	-75.5993	1502.1	25	FVQ731	23.5
38810	317	6.23205	-75.6045	1535	19	FVQ731	25.5
38829	50	6.23243	-75.6047	1538.29	19	FVQ731	25.5
39055	1252	6.19771	-75.5794	1504.13	26	FVQ731	26.5
39079	23	6.19771	-75.5794	1504.13	26	FVQ731	28.5
41997	1480	6.20063	-75.5782	1500.09	100	GHW284	18
41999	1487	6.20063	-75.5782	1500.09	100	GHW284	18
42040	64	6.20059	-75.5782	1500.17	100	GVQ446	22
42941	3203	6.15284	-75.6109	1581.86	95	GVQ446	19
43738	1648	6.19315	-75.5798	1510.94	94	GVQ446	19
44002	2423	6.17861	-75.4415	2161.31	77	GVQ446	14
44491	3991	6.15305	-75.6117	1579.47	69	GVQ446	20
44941	1102	6.20053	-75.5783	1500.24	67	GVQ446	28
45352	2381	6.15276	-75.6114	1581.01	61	GVQ446	24
45354	2388	6.15278	-75.6114	1580.99	61	GVQ446	24
45358	21	6.15298	-75.6113	1579.92	61	GVQ446	24
46282	1426	6.20055	-75.5782	1500.22	59	GVQ446	20
46573	1282	6.17487	-75.5933	1531.96	56	GVQ446	31
46805	692	6.20061	-75.5782	1500.14	100	GVQ446	31
47492	4550	6.18598	-75.6482	1789.9	95	GVQ446	17
47794	1810	6.11728	-75.6297	1737.98	91	GVQ446	16
48098	2088	6.1859	-75.6486	1800.48	83	GVQ446	15
48127	225	6.18217	-75.6418	1710	83	GVQ446	15
48633	2589	6.18588	-75.6484	1794.53	63	GVQ446	15
49602	3367	6.25576	-75.6193	1557.26	58	GVQ446	27
49616	92	6.25576	-75.6193	1557.26	57	GVQ446	30
49973	2158	6.28105	-75.6064	1746.43	52	GVQ446	29
50452	2842	6.20057	-75.5782	1500.2	49	GVQ446	32
55099	1694	6.17479	-75.5933	1531.82	44	GVQ446	26
55101	1701	6.17479	-75.5933	1531.82	44	GVQ446	26
55145	288	6.17479	-75.5933	1531.82	44	GVQ446	26
55361	541	6.20054	-75.5782	1500.23	100	GVQ446	20
55363	548	6.20055	-75.5782	1500.22	100	GVQ446	20
56514	1617	6.27375	-75.5806	1496.35	79	GVQ446	27
56632	647	6.27727	-75.5873	1556.77	77	GVQ446	25
56647	55	6.27698	-75.5875	1552.31	77	GVQ446	25
57972	2326	6.20059	-75.5783	1500.14	73	GVQ446	26
59657	2709	6.23189	-75.6043	1532.98	67	GVQ446	31
59672	123	6.2322	-75.6045	1536.57	79	GVQ446	27
59817	1106	6.24543	-75.6173	1615.34	84	GVQ446	29
59952	306	6.24916	-75.6107	1556.54	84	GVQ446	27
60090	941	6.26874	-75.6028	1565.82	82	GVQ446	26
60437	1889	6.23256	-75.6049	1538.36	79	GVQ446	21
60728	950	6.26869	-75.6028	1564.28	77	GVQ446	19
61444	3243	6.17721	-75.5904	1527.09	72	GVQ446	23
61517	440	6.17909	-75.5884	1524.52	71	GVQ446	22
61537	22	6.17885	-75.5876	1529.76	70	GVQ446	23
61542	133	6.17894	-75.5878	1526.73	70	GVQ446	23
61641	754	6.23939	-75.5864	1477.8	89	GVQ446	25
61665	314	6.20056	-75.5783	1500.2	77	GVQ446	27
65131	46	6.20183	-75.5777	1499.41	76	GVQ446	30
65139	91	6.20172	-75.5775	1500.05	76	GVQ446	31
65149	151	6.20151	-75.5775	1500.03	76	GVQ446	30
65163	207	6.19554	-75.5792	1513.49	75	GVQ446	28
65177	277	6.20185	-75.5793	1498.81	75	GVQ446	28
65190	327	6.21086	-75.5781	1492.34	74	GVQ446	28
65198	394	6.22411	-75.5763	1481.2	74	GVQ446	27
65211	460	6.23544	-75.5757	1473.34	74	GVQ446	27
65221	513	6.24295	-75.5783	1469.89	74	GVQ446	27
65232	566	6.25083	-75.5787	1465.47	73	GVQ446	27
65248	628	6.25987	-75.5734	1461.27	73	GVQ446	26
65255	689	6.2651	-75.575	1459.92	73	GVQ446	26
65268	753	6.27409	-75.573	1464.14	73	GVQ446	27
65280	811	6.28403	-75.5709	1477.75	72	GVQ446	26
65295	887	6.29497	-75.5674	1526.98	71	GVQ446	27
65303	927	6.29923	-75.5657	1524.93	71	GVQ446	26
65311	997	6.30388	-75.5608	1491.25	71	GVQ446	26
65321	1047	6.31033	-75.5593	1459.74	71	GVQ446	26
65325	1117	6.31819	-75.5571	1440.16	71	GVQ446	26
65334	1167	6.32051	-75.5573	1439.6	71	GVQ446	27
65337	1198	6.32097	-75.5573	1439.32	71	GVQ446	27
65343	1293	6.32137	-75.5578	1440.32	71	GVQ446	27
65348	1343	6.32161	-75.5595	1451.43	71	GVQ446	27
65360	1420	6.32601	-75.5609	1445.57	71	GVQ446	26
65364	1458	6.32701	-75.5609	1439.96	71	GVQ446	27
65373	1534	6.33	-75.5623	1444.6	70	GVQ446	26
65382	1588	6.33242	-75.5614	1444.09	70	GVQ446	27
65391	1706	6.33548	-75.5626	1470.34	70	GVQ446	27
65400	1770	6.33495	-75.5669	1514.23	69	GVQ446	26
65407	1814	6.33481	-75.57	1527.95	69	GVQ446	26
65417	1950	6.33316	-75.576	1572.01	68	GVQ446	25
65426	2006	6.33349	-75.5783	1581.12	67	GVQ446	24
65432	2041	6.33352	-75.5783	1581.95	67	GVQ446	24
65472	12	6.20051	-75.5782	1500.27	61	EGZ112	27
65474	72	6.20052	-75.5783	1500.25	61	EGZ112	27
65478	192	6.20064	-75.578	1500.17	60	EGZ112	27
65488	247	6.20185	-75.5778	1499.17	60	EGZ112	27
65496	296	6.20182	-75.5779	1499.41	60	EGZ112	27
65505	363	6.20098	-75.5777	1499.98	60	EGZ112	27
65515	427	6.20146	-75.5777	1499.4	60	EGZ112	27
65518	441	6.20142	-75.5777	1499.43	60	EGZ112	27
65568	232	6.33456	-75.5701	1528.32	67	GVQ446	22
65579	279	6.33533	-75.568	1523.12	67	GVQ446	22
65587	344	6.33445	-75.5671	1512.19	67	GVQ446	22
65852	1498	6.26254	-75.5677	1464.25	63	GVQ446	25
65854	1095	6.2027	-75.5844	1500.97	58	EGZ112	26
65865	1155	6.20315	-75.5851	1500.62	58	EGZ112	26
65870	1179	6.20332	-75.5854	1500.61	58	EGZ112	27
65881	1276	6.20407	-75.5868	1506.52	58	EGZ112	27
65893	1332	6.2045	-75.5875	1502.39	58	EGZ112	27
65901	1392	6.20491	-75.5883	1503	58	EGZ112	27
65911	1454	6.20587	-75.589	1517.27	57	EGZ112	27
